Country,Region,Life,Pop
Aruba,America,75.33217073,102921
Afghanistan,Asia,60.93141463,30682500
Angola,Africa,51.86617073,23448202
Albania,Europe,77.5372439,2897366
United Arab Emirates,Africa,77.13129268,9039978
Argentina,America,76.18729268,42538304
Armenia,Europe,74.5407561,2992192
Antigua and Barbuda,America,75.82929268,89985
Australia,Asia,82.19756098,23125868
Austria,Europe,80.8902439,8479375
Azerbaijan,Europe,70.69314634,9416801
Burundi,Africa,54.09719512,10465959
Belgium,Europe,80.38536585,11182817
Benin,Africa,59.28756098,10322232
Burkina Faso,Africa,56.27502439,17084554
Bangladesh,Asia,70.69339024,157157394
Bulgaria,Europe,74.46585366,7265115
Bahrain,Africa,76.66987805,1349427
Bahamas,America,75.07256098,377841
Bosnia and Herzegovina,Europe,76.27990244,3823533
Belarus,Europe,72.47073171,9466000
Belize,America,73.90487805,344193
Bermuda,America,80.57243902,65001
Bolivia,America,67.21736585,10399931
Brazil,America,73.88595122,204259377
Barbados,America,75.29641463,282503
Brunei Darussalam,Asia,78.56643902,411499
Bhutan,Asia,68.30231707,754637
Botswana,Africa,47.40560976,2176510
Central African Republic,Africa,50.13680488,4710678
Canada,America,81.40112195,35158304
Switzerland,Europe,82.74878049,8089346
Channel Islands,Europe,80.25953659,162138
Chile,America,79.83680488,17575833
China,Asia,75.35302439,1357380000
Cote d'Ivoire,Africa,50.75741463,21622490
Cameroon,Africa,55.04180488,22211166
Congo,Africa,58.77,4394334
Colombia,America,73.97882927,47342363
Comoros,Africa,60.8574878,751697
Cabo Verde,Africa,74.87068293,507258
Costa Rica,America,79.921,4706433
Cuba,America,79.23926829,11362505
Cyprus,Europe,79.80431707,1141652
Czech Republic,Europe,78.27804878,10514272
Germany,Europe,81.04390244,80645605
Djibouti,Africa,61.78695122,864554
Denmark,Europe,80.30243902,5614932
Dominican Republic,America,73.45095122,10281408
Algeria,Africa,71.00965854,38186135
Ecuador,America,76.46507317,15661312
Egypt,Africa,71.13292683,87613909
Eritrea,Africa,62.75463415,4998824
Spain,Europe,82.42682927,46620045
Estonia,Europe,76.42439024,1317997
Ethiopia,Africa,63.61734146,94558374
